"","year","school","conference","division","Jersey","Player","Yr","Pos","GP","App","GS","ERA","IP","H","R","ER","BB","SO","SHO","BF","P-OAB","2B-A","3B-A","Bk","HR-A","WP","HB","IBB","Inh Run","Inh Run Score","SHA","SFA","Pitches","GO","FO","W","L","SV","KL","teamid","conference_id"
"14",2016,"East Carolina","AAC",1,"10","Lloyd, Brady","Fr","INF","33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,196,823
"15",2016,"East Carolina","AAC",1,"36","Ingle, Joe","So","P","32",32,NA,3.59,52.2,36,25,21,40,75,NA,"240","184",11,2,NA,4,8,11,1,38,16,3,2,"880",34,42,6,3,12,21,196,823
"16",2016,"East Carolina","AAC",1,"7","Phillips, Wesley","Jr","INF","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,196,823
"17",2016,"East Carolina","AAC",1,"27","Bridges, Matt","Fr","P","28",28,NA,2.98,42.1,29,15,14,18,45,NA,"173","145",4,NA,NA,5,6,5,NA,25,8,3,2,"535",41,36,2,1,1,13,196,823
"18",2016,"East Carolina","AAC",1,"11","Holba, Chris","Fr","P","25",25,1,6.23,30.1,36,21,21,10,19,NA,"138","121",6,NA,NA,2,4,4,1,11,2,2,1,"393",40,28,3,1,1,5,196,823
"19",2016,"East Carolina","AAC",1,"35","Kruczynski, Evan","Jr","P","19",17,17,2.01,116.2,107,32,26,27,94,NA,"478","437",13,NA,1,4,5,6,NA,NA,NA,5,3,"1,277",104,129,8,1,NA,27,196,823
"20",2016,"East Carolina","AAC",1,"43","Boyd, Jimmy","Sr","P","18",18,16,2.83,101.2,84,38,32,21,61,NA,"422","374",10,NA,1,5,10,18,NA,2,2,9,NA,"1,101",129,99,7,5,NA,22,196,823
"21",2016,"East Carolina","AAC",1,"33","Wolfe, Jacob","Jr","P","18",17,17,2.95,88.1,81,40,29,32,57,NA,"382","323",16,NA,NA,4,3,14,NA,NA,NA,10,3,"1,012",119,67,6,4,NA,22,196,823
"22",2016,"East Carolina","AAC",1,"31","Durazo, Nick","Sr","P","14",14,4,4.35,20.2,25,13,10,10,24,NA,"99","86",6,1,NA,1,2,1,NA,7,5,2,NA,"308",17,19,1,1,1,5,196,823
"23",2016,"East Carolina","AAC",1,"30","Littlefield, Ryan","Jr","1B","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,196,823
"24",2016,"East Carolina","AAC",1,"12","Kirkpatrick, Davis","So","P","14",14,3,6.48,25,37,21,18,12,14,NA,"122","107",13,NA,NA,1,3,1,NA,6,4,1,1,"311",27,29,NA,3,1,5,196,823
"25",2016,"East Carolina","AAC",1,"44","Voliva, Evan","So","P","12",12,1,5.62,16,19,12,10,7,9,NA,"79","60",3,NA,NA,1,NA,8,1,10,7,3,1,"235",24,11,NA,2,NA,1,196,823
"26",2016,"East Carolina","AAC",1,"17","Brady, Denny","Fr","P","12",11,1,8.76,12.1,16,12,12,7,13,NA,"64","53",2,NA,NA,NA,4,2,1,6,2,1,NA,"175",10,13,NA,NA,NA,5,196,823
"27",2016,"East Carolina","AAC",1,"39","Colmore, Cam","Fr","P","8",8,1,1.64,11,5,3,2,4,9,NA,"43","36",1,1,NA,NA,1,3,NA,4,NA,NA,NA,"147",7,13,2,NA,NA,2,196,823
"28",2016,"East Carolina","AAC",1,"5","Ford, Kendall","Jr","INF","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,196,823
"29",2016,"East Carolina","AAC",1,"24","Dirden, Justin","Fr","OF","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,196,823
"30",2016,"East Carolina","AAC",1,"-","Totals","-","-","-",NA,NA,3.53,556.1,518,258,218,206,464,2,"2,421","2,081",97,7,2,30,53,77,4,NA,NA,40,16,"",584,523,NA,NA,NA,140,196,823
"31",2016,"East Carolina","AAC",1,"-","Opponent Totals","-","-","-",NA,NA,4.77,545.2,602,326,289,224,390,4,"2,460","2,088",102,10,7,33,64,79,8,NA,NA,47,22,"",580,536,NA,NA,NA,134,196,823
"1",2016,"Houston","AAC",1,"44","Davis, Joe","Fr","1B","59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,288,823
"2",2016,"Houston","AAC",1,"20","Montemayor, Justin","Sr","INF","59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,288,823
"3",2016,"Houston","AAC",1,"5","Hollis, Connor","So","INF","59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,288,823
"4",2016,"Houston","AAC",1,"10","Wong, Connor","So","INF","59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,288,823
